student_id,name,name_en,school,class_year,address,dropoff_address,district,contact_phone,contact_name
2026-TP001,陳偉明,Wai Ming Chan,Tak Sun Secondary School,1A,大埔太和邨和健樓12樓04室,,九龍城,97123456,陳先生
2026-TP002,李嘉欣,Ka Yan Lee,Tak Sun Secondary School,1A,大埔太和邨和健樓12樓04室,,九龍城,97123456,陳先生
2026-TP003,王俊傑,Chun Kit Wong,Tak Sun Secondary School,1B,大埔富亨邨亨亨樓8樓03室,,沙田,97234567,王先生
2026-TP004,林晓燕,Hiu Yin Lam,Tak Sun Secondary School,1B,大埔富亨邨亨亨樓15樓07室,,沙田,97234567,王先生
2026-TP005,張家欣,Ka Yan Cheung,Tak Sun Secondary School,1B,大埔富善邨善逸樓20樓05室,,沙田,97345678,張先生
2026-TP006,黃曉晴,Hiu Ching Wong,Tak Sun Secondary School,1C,大埔廣福道123號廣福商業中心18樓02室,,沙田,97345678,張先生
2026-TP007,劉家豪,Ka Ho Lau,Tak Sun Secondary School,1C,大埔寶雅苑雅閣16樓03室,,沙田,97456789,劉女士
2026-TP008,周天佑,Tin Yau Chow,Tak Sun Secondary School,1C,大埔安慈路3號海寶花園12樓08室,,沙田,97456789,劉女士
2026-TP009,吳詠詩,Wing See Ng,Tak Sun Secondary School,2A,大埔舊墟路32號寶雅苑雅閣10樓06室,,沙田,97567890,吳先生
2026-TP010,陳思穎,Si Wing Chan,Tak Sun Secondary School,2A,大埔太和路16號富亨邨亨亨樓22樓01室,,沙田,97567890,吳先生
2026-TP011,蔡俊熙,Chun Hei Choi,Tak Sun Secondary School,2A,大埔汀角路72號翠景花園6座15樓04室,,沙田,97678901,蔡女士
2026-TP012,鄭凱琳,Hoi Lam Cheng,Tak Sun Secondary School,2B,大埔太和邨和興樓5樓02室,,沙田,97678901,蔡女士
2026-TP013,許嘉怡,Ka Yi Hui,Tak Sun Secondary School,2B,大埔寶雅苑雅閣18樓09室,,沙田,97789012,許先生
2026-TP014,楊智恆,Chi Hang Yeung,Tak Sun Secondary School,2B,大埔廣福道88號昌運中心10樓05室,,沙田,97789012,許先生
2026-TP015,呂穎怡,Wing Yi Lui,Tak Sun Secondary School,2C,大埔富亨邨亨亨樓30樓10室,,沙田,97890123,呂女士
2026-TP016,何俊霆,Chun Ting Ho,Tak Sun Secondary School,2C,大埔太和邨和安樓18樓06室,,沙田,97890123,呂女士
2026-TP017,羅雅詩,A See Lo,Tak Sun Secondary School,3A,大埔富善邨善逸樓25樓03室,,沙田,97901234,羅先生
2026-TP018,謝凱翹,Hoi Kiu Tse,Tak Sun Secondary School,3A,大埔汀角路36號新興花園8座22樓07室,,沙田,97901234,羅先生
2026-TP019,馮子晴,Tsi Ching Fung,Tak Sun Secondary School,3A,大埔太和邨和健樓28樓01室,,沙田,97012345,馮女士
2026-TP020,潘穎琳,Wing Lam Poon,Tak Sun Secondary School,3B,大埔舊墟路18號太湖山莊6座14樓02室,,沙田,97012345,馮女士
2026-TP021,鍾嘉樂,Ka Lok Chung,Tak Sun Secondary School,3B,荃灣大窩口邨大窩口商場12樓04室,,荃灣,97111111,鍾先生
2026-TP022,梁曉峰,Hiu Fung Leung,Tak Sun Secondary School,3B,荃灣大窩口邨大窩口居15樓08室,,荃灣,97111111,鍾先生
2026-TP023,曾曉晴,Hiu Ching Tsang,Tak Sun Secondary School,3C,荃灣大窩口邨大窩口邨富靜樓20樓05室,,荃灣,97222222,曾女士
2026-TP024,方俊傑,Chun Kit Fong,Tak Sun Secondary School,3C,荃灣大窩口邨大窩口邨富靜樓8樓03室,,荃灣,97222222,曾女士
2026-TP025,邱詠欣,Wing Yan Yau,Tak Sun Secondary School,3C,荃灣大窩口邨大窩口邨大窩口巴士總站對面12樓06室,,荃灣,97333333,邱先生
